AT3G14420	6	10	5	7	9	9	1	5	7	9	9	7	5	6	8	5	6	1	2	8	4	2	10	5	3	1	2	9	10	5	7	10	1	3	4	2	4	9	5	9	4	9	1	6	10	1	1	9	10
AT1G79230	9	7	1	8	7	2	7	10	2	8	3	9	10	3	1	1	5	2	5	5	5	1	4	6	9	8	5	4	6	1	4	1	6	5	9	9	5	8	7	5	6	5	5	7	4	9	6	5	3
AT2G42220	1	9	9	5	6	1	6	10	10	8	10	1	9	10	7	7	4	7	5	2	7	1	4	6	4	9	5	1	4	3	2	1	3	6	9	1	5	8	6	2	2	1	6	7	4	3	6	5	7
AT1G67280	9	7	1	5	2	2	3	10	3	8	3	9	6	2	1	1	8	2	9	10	7	9	5	6	9	8	5	8	4	3	3	1	6	5	5	4	2	8	6	2	1	1	10	7	4	7	5	5	3
AT3G47450	8	6	2	9	3	9	9	8	7	9	1	7	5	6	8	5	3	10	2	4	8	5	2	5	3	1	2	5	2	10	7	10	9	3	1	4	7	6	8	1	5	3	4	3	9	10	9	2	8
AT5G08540	3	8	9	10	5	1	6	10	10	8	10	9	9	2	6	1	8	2	9	1	2	8	9	8	8	8	6	8	8	8	1	3	6	4	10	5	2	1	9	3	9	8	10	9	6	7	5	5	5
AT3G01480	7	3	3	2	1	7	8	2	1	6	5	5	3	9	2	1	10	4	2	9	1	10	7	1	6	5	1	3	9	5	5	8	5	10	4	2	4	3	4	1	7	2	9	3	3	10	4	8	8
AT4G31560	1	5	8	3	6	5	7	10	2	8	3	9	10	3	1	1	8	2	9	10	2	9	9	6	9	8	5	8	4	3	3	1	6	4	5	4	2	10	6	2	1	8	10	7	1	7	5	5	3
AT1G54580	5	1	7	3	6	5	5	3	5	1	4	10	1	3	9	1	5	2	9	10	5	9	9	8	9	8	5	8	6	3	10	1	6	4	5	4	2	10	6	2	1	8	10	7	1	7	6	5	3
AT1G73530	10	3	6	9	1	8	8	6	1	2	5	5	4	6	2	6	3	5	2	9	3	10	7	1	6	1	1	6	9	9	9	8	8	8	6	7	4	3	5	1	7	9	9	10	3	10	9	1	8
