wid	startWindow	stopWindow	windowSize	geneSize	groupGenes
3207a	32	39	7	9	['AT3G10130', 'AT5G13120', 'AT1G27510', 'AT4G39960', 'AT1G67280', 'AT3G15110', 'AT2G27290', 'AT1G17850', 'AT4G01900']
1703a	17	20	3	56	['AT2G17630', 'AT2G01918', 'AT5G02160', 'AT4G31560', 'AT5G62720', 'AT3G26580', 'AT1G27510', 'AT1G14150', 'AT1G12250', 'AT1G31180', 'AT4G24750', 'AT5G39830', 'AT1G14590', 'AT3G10130', 'AT2G20270', 'AT1G66670', 'AT2G40100', 'AT1G54050', 'AT4G01050', 'AT2G40760', 'AT2G27290', 'AT4G01900', 'AT5G23890', 'AT1G17850', 'AT3G10470', 'AT1G74710', 'AT5G42765', 'AT4G18370', 'AT5G19370', 'AT2G29500', 'AT1G67280', 'AT4G37925', 'AT5G52780', 'AT4G23890', 'AT1G18730', 'AT5G01500', 'AT2G20260', 'AT1G72640', 'AT2G30950', 'AT5G20140', 'AT1G55370', 'AT5G08540', 'AT3G47060', 'AT5G13120', 'AT1G76760', 'AT4G39960', 'AT3G01440', 'AT4G04020', 'AT5G15250', 'AT2G44990', 'AT3G15110', 'AT3G08920', 'AT5G35170', 'AT2G41330', 'AT5G03455', 'AT2G26800']
4404	44	48	4	8	['AT3G10130', 'AT2G42975', 'AT1G79230', 'AT1G50250', 'AT4G39960', 'AT5G52780', 'AT5G23890', 'AT3G24590']
1004	10	14	4	9	['AT5G42765', 'AT4G31560', 'AT1G79230', 'AT1G66670', 'AT1G27510', 'AT4G04020', 'AT4G01050', 'AT1G14590', 'AT4G01900']
3907a	39	46	7	18	['AT5G39830', 'AT1G72640', 'AT1G10170', 'AT4G31560', 'AT1G66670', 'AT3G47060', 'AT1G76760', 'AT4G39460', 'AT1G54050', 'AT1G14150', 'AT4G18370', 'AT1G18730', 'AT1G54580', 'AT3G01440', 'AT3G26580', 'AT1G14590', 'AT5G03455', 'AT2G26800']
2209	22	31	9	16	['AT2G17630', 'AT3G08920', 'AT2G20260', 'AT5G62720', 'AT2G37660', 'AT1G27510', 'AT3G01440', 'AT1G14150', 'AT5G19370', 'AT2G40100', 'AT2G44990', 'AT3G47060', 'AT4G23890', 'AT4G37925', 'AT5G01500', 'AT2G26800']
3105	31	36	5	7	['AT1G76760', 'AT5G19370', 'AT1G12250', 'AT1G02560', 'AT1G80030', 'AT5G01500', 'AT2G40400']
207a	2	9	7	4	['AT1G78915', 'AT2G21160', 'AT2G01140', 'AT2G37400']
2104	21	25	4	14	['AT1G29920', 'AT1G23740', 'AT1G10170', 'AT1G07510', 'AT4G20820', 'AT2G24020', 'AT1G15820', 'AT3G22690', 'AT2G40760', 'AT3G57680', 'AT5G12470', 'AT5G21430', 'AT3G24590', 'AT1G06690']
26011	26	37	11	7	['AT2G42220', 'AT4G13670', 'AT5G52970', 'AT2G22360', 'AT5G16660', 'AT5G21430', 'AT5G12470']
19015	19	34	15	5	['AT1G67840', 'AT1G74880', 'AT4G19830', 'AT2G21530', 'AT1G50450']
1803	18	21	3	5	['AT2G18790', 'AT1G16880', 'AT4G33010', 'AT5G42270', 'AT2G29180']
4703	47	50	3	10	['AT3G46780', 'AT3G21055', 'AT1G22020', 'AT2G22360', 'AT1G18730', 'AT3G15110', 'AT5G21430', 'AT1G50460', 'AT4G28025', 'AT4G16155']
103b	1	4	3	8	['AT1G20810', 'AT2G37400', 'AT1G74070', 'AT1G27510', 'AT1G78915', 'AT1G54580', 'AT1G65260', 'AT2G21160']
4404a	44	48	4	12	['AT2G17630', 'AT2G29500', 'AT2G20260', 'AT2G37660', 'AT1G67700', 'AT2G40100', 'AT1G80380', 'AT2G44990', 'AT1G14345', 'AT1G02560', 'AT4G37925', 'AT5G42270']
803	8	11	3	35	['AT3G10470', 'AT1G07510', 'AT4G27700', 'AT3G26580', 'AT4G39960', 'AT5G42070', 'AT4G04020', 'AT3G10130', 'AT1G10170', 'AT2G20270', 'AT4G35770', 'AT2G40100', 'AT3G22690', 'AT2G40760', 'AT2G27290', 'AT5G23890', 'AT3G24590', 'AT1G17850', 'AT5G42765', 'AT4G18370', 'AT5G03455', 'AT1G67280', 'AT1G80030', 'AT1G66670', 'AT2G37230', 'AT1G06690', 'AT2G30950', 'AT5G20140', 'AT1G55370', 'AT3G55330', 'AT1G52220', 'AT2G24020', 'AT1G12250', 'AT4G24750', 'AT3G57680']
1505	15	20	5	8	['AT1G03160', 'AT1G67700', 'AT2G18790', 'AT1G80380', 'AT4G33010', 'AT5G42270', 'AT1G14345', 'AT2G29180']
608	6	14	8	4	['AT4G01050', 'AT1G14590', 'AT4G31560', 'AT4G01900']
403	4	7	3	4	['AT2G41680', 'AT2G26360', 'AT4G25910', 'AT4G36810']
2206	22	28	6	7	['AT5G39830', 'AT4G31560', 'AT1G66670', 'AT4G01050', 'AT5G03455', 'AT1G72640', 'AT4G01900']
6022	6	28	22	6	['AT2G42220', 'AT5G19500', 'AT3G58010', 'AT4G38380', 'AT5G16150', 'AT4G39460']
