parent	child
2903	2908
2307b	2308
2307b	2208
2504a	2405b
2504a	2506
2504a	2506a
2504a	2207
2603c	2108a
4004a	4006b
406b	407
2209a	20011
4103b	4104
35015a	32018
4003a	4004
4003a	3904c
36010	36013
36010	34012
4406b	4208b
4406b	39011c
4406a	4307b
4505d	4406a
1907	1709
1204	1105a
1204	1209a
405a	207
2403a	2404
2403a	13014
1208	9011
1208	1209
1209	12011a
1209	9012
1209	11010a
3404	3405
3404	3305c
1303a	1305
1303a	1204a
1012c	1017
7015a	7016
7015a	5017
9014a	6017
9014a	9015
4303	4204a
4303	4304a
4303	3907a
4303	4304
34012	29017a
34012	34015a
34013	34015
34016	29021c
4304	4306
4304	3908a
3303	3204a
3303	3305c
3304	3205
3304	3306
3306	3207
3306	3308a
3308	31010b
3308	3309a
3309	33013
26011b	23014a
26011b	26020
509b	5018
509b	2012
3908a	35012
3908a	39010b
4603d	4604b
1204b	1006b
1204b	1205c
1004	806
1004	10011
2603	2608
2603	2405
32010	32015
32014	32018
32014	29017b
32017	28021
32018	29021a
32018	29021
2705b	2706
2705b	2606
1306	13010
4603a	4604d
806b	809
806b	608c
806a	707
806a	807
806a	808a
806a	707d
4109a	40010
1504d	12011c
3808b	31016
4208b	38012a
4208a	40010c
3808a	32014a
3808a	38010
3808a	38011
3808a	3709
2604a	2506a
2604c	2605c
2604c	11019
2604b	2406
2604b	2605d
605a	1010a
605a	607b
3907b	39011c
605c	6014a
2806b	2608
2806b	28011a
605b	209b
605b	606
3303d	33010
32018a	29021b
40010c	39011
40010b	28022
2303d	2204a
2303d	2305b
3207a	3009
3207a	3209a
2407	24010a
3207c	3108c
3207c	3108
3207c	32014b
3207c	3209d
3207b	3108b
3207b	3208
3207b	3108a
2503a	2504a
2503a	2404g
3405	3207b
3405	3406
3405	3306a
3405	3409
3406	3208
3406	3407a
4205	4007a
4205	4207b
3409	33010a
3409	34013
2104a	2105c
2104a	1906
1805a	1706b
1805a	1807a
1805a	1706
1805a	1808
2104c	2105a
2104c	2105e
2104c	2005
2104c	2005a
903a	904
903a	804a
1508c	1409
1508c	1509b
1508b	1509a
1508b	10013
1508a	15010b
1508a	1409b
14018a	14021
14018a	12020
